"Count","Source","Type","LiveAction","YearMade","PlexTitle","Episode","EpisodeName","StoryTime","PlexId","imdb","tmdb","tvdb"
913,"CBS","Show","False",2021,"Star Trek: Lower Decks","2x09","wej Duj",,"NULL","NULL","NULL","NULL"
914,"CBS","Show","False",2021,"Star Trek: Lower Decks","2x10","First First Contact",,"NULL","NULL","NULL","NULL"
915,"CBS","Show","False",2022,"Star Trek: Lower Decks","3x01","Grounded",,"NULL","NULL","NULL","NULL"
916,"CBS","Show","False",2022,"Star Trek: Lower Decks","3x02","The Least Dangerous Game",,"NULL","NULL","NULL","NULL"
917,"CBS","Show","False",2022,"Star Trek: Lower Decks","3x03","Mining The Mind's Mines",,"NULL","NULL","NULL","NULL"
918,"CBS","Show","False",2022,"Star Trek: Lower Decks","3x04","Room For Growth",,"NULL","NULL","NULL","NULL"
919,"CBS","Show","False",2022,"Star Trek: Lower Decks","3x05","Reflections",,"NULL","NULL","NULL","NULL"
920,"CBS","Show","False",2022,"Star Trek: Lower Decks","3x06","Hear All, Trust Nothing",,"NULL","NULL","NULL","NULL"
921,"CBS","Show","False",2022,"Star Trek: Lower Decks","3x07","A Mathematically Perfect Redemption",,"NULL","NULL","NULL","NULL"
922,"CBS","Show","False",2022,"Star Trek: Lower Decks","3x08","Crisis Point 2: Paradoxus",,"NULL","NULL","NULL","NULL"
923,"CBS","Show","False",2022,"Star Trek: Lower Decks","3x09","Trusted Sources",,"NULL","NULL","NULL","NULL"
924,"CBS","Show","False",2022,"Star Trek: Lower Decks","3x10","The Stars at Night",,"NULL","NULL","NULL","NULL"
925,"CBS","Show","False",2021,"Star Trek: Prodigy","1x01","Lost & Found",,"NULL","NULL","NULL","NULL"
926,"CBS","Show","False",2021,"Star Trek: Prodigy","1x01","Lost & Found (1)",,"NULL","NULL","NULL","NULL"
927,"CBS","Show","False",2021,"Star Trek: Prodigy","1x02","Lost & Found (2)",,"NULL","NULL","NULL","NULL"
928,"CBS","Show","False",2021,"Star Trek: Prodigy","1x01","Lost & Found, Part 1",,"NULL","NULL","NULL","NULL"
929,"CBS","Show","False",2021,"Star Trek: Prodigy","1x02","Lost & Found, Part 2",,"NULL","NULL","NULL","NULL"
930,"CBS","Show","False",2021,"Star Trek: Prodigy","1x03","Starstruck",,"NULL","NULL","NULL","NULL"
931,"CBS","Show","False",2021,"Star Trek: Prodigy","1x04","Dreamcatcher",,"NULL","NULL","NULL","NULL"
932,"CBS","Show","False",2021,"Star Trek: Prodigy","1x05","Terror Firma",,"NULL","NULL","NULL","NULL"
933,"CBS","Show","False",2022,"Star Trek: Prodigy","1x06","Kobayashi",,"NULL","NULL","NULL","NULL"
934,"CBS","Show","False",2022,"Star Trek: Prodigy","1x07","First Con-tact",,"NULL","NULL","NULL","NULL"
935,"CBS","Show","False",2022,"Star Trek: Prodigy","1x08","Time Amok",,"NULL","NULL","NULL","NULL"
936,"CBS","Show","False",2022,"Star Trek: Prodigy","1x09","A Moral Star",,"NULL","NULL","NULL","NULL"
937,"CBS","Show","False",2022,"Star Trek: Prodigy","1x09","A Moral Star (1)",,"NULL","NULL","NULL","NULL"
938,"CBS","Show","False",2022,"Star Trek: Prodigy","1x10","A Moral Star (2)",,"NULL","NULL","NULL","NULL"
939,"CBS","Show","False",2022,"Star Trek: Prodigy","1x09","A Moral Star, Part 1",,"NULL","NULL","NULL","NULL"
940,"CBS","Show","False",2022,"Star Trek: Prodigy","1x10","A Moral Star, Part 2",,"NULL","NULL","NULL","NULL"
941,"CBS","Show","False",2022,"Star Trek: Prodigy","1x11","Asylum",,"NULL","NULL","NULL","NULL"
942,"CBS","Show","False",2022,"Star Trek: Prodigy","1x12","Let Sleeping Borg Lie",,"NULL","NULL","NULL","NULL"
943,"CBS","Show","False",2022,"Star Trek: Prodigy","1x13","All the World's a Stage",,"NULL","NULL","NULL","NULL"
944,"CBS","Show","False",2022,"Star Trek: Prodigy","1x14","Crossroads",,"NULL","NULL","NULL","NULL"
945,"CBS","Show","False",2022,"Star Trek: Prodigy","1x15","Masquerade",,"NULL","NULL","NULL","NULL"
946,"CBS","Show","False",2022,"Star Trek: Prodigy","1x16","Preludes",,"NULL","NULL","NULL","NULL"
947,"CBS","Show","False",2022,"Star Trek: Prodigy","1x17","Ghost in the Machine",,"NULL","NULL","NULL","NULL"
948,"CBS","Show","False",2022,"Star Trek: Prodigy","1x18","Mindwalk",,"NULL","NULL","NULL","NULL"
949,"CBS","Show","False",2022,"Star Trek: Prodigy","1x19","Supernova",,"NULL","NULL","NULL","NULL"
950,"CBS","Show","False",2022,"Star Trek: Prodigy","1x19","Supernova (1)",,"NULL","NULL","NULL","NULL"
951,"CBS","Show","False",2022,"Star Trek: Prodigy","1x20","Supernova (2)",,"NULL","NULL","NULL","NULL"
952,"CBS","Show","False",2022,"Star Trek: Prodigy","1x19","Supernova, Part 1",,"NULL","NULL","NULL","NULL"
953,"CBS","Show","False",2022,"Star Trek: Prodigy","1x20","Supernova, Part 2",,"NULL","NULL","NULL","NULL"
954,,"Film","True",2009,"ALT_FILMS","1","Star Trek",,"NULL","NULL","NULL","NULL"
955,"CBS","Show","True",2020,"Star Trek: Short Treks","2x06","Children of Mars",,"NULL","NULL","NULL","NULL"
956,"CBS","Show","True",2020,"Star Trek: Picard","1x01","Remembrance",,"NULL","NULL","NULL","NULL"
957,"CBS","Show","True",2020,"Star Trek: Picard","1x02","Maps and Legends",,"NULL","NULL","NULL","NULL"
958,"CBS","Show","True",2020,"Star Trek: Picard","1x03","The End is the Beginning",,"NULL","NULL","NULL","NULL"
959,"CBS","Show","True",2020,"Star Trek: Picard","1x04","Absolute Candor",,"NULL","NULL","NULL","NULL"
960,"CBS","Show","True",2020,"Star Trek: Picard","1x05","Stardust City Rag",,"NULL","NULL","NULL","NULL"
961,"CBS","Show","True",2020,"Star Trek: Picard","1x06","The Impossible Box",,"NULL","NULL","NULL","NULL"
962,"CBS","Show","True",2020,"Star Trek: Picard","1x07","Nepenthe",,"NULL","NULL","NULL","NULL"
963,"CBS","Show","True",2020,"Star Trek: Picard","1x08","Broken Pieces",,"NULL","NULL","NULL","NULL"
964,"CBS","Show","True",2020,"Star Trek: Picard","1x09","Et in Arcadia Ego",,"NULL","NULL","NULL","NULL"
965,"CBS","Show","True",2020,"Star Trek: Picard","1x09","Et in Arcadia Ego (1)",,"NULL","NULL","NULL","NULL"
966,"CBS","Show","True",2020,"Star Trek: Picard","1x10","Et in Arcadia Ego (2)",,"NULL","NULL","NULL","NULL"
967,"CBS","Show","True",2020,"Star Trek: Picard","1x09","Et in Arcadia Ego, Part 1",,"NULL","NULL","NULL","NULL"
968,"CBS","Show","True",2020,"Star Trek: Picard","1x10","Et in Arcadia Ego, Part 2",,"NULL","NULL","NULL","NULL"
969,"CBS","Show","True",2022,"Star Trek: Picard","2x01","The Star Gazer",,"NULL","NULL","NULL","NULL"
970,"CBS","Show","True",2022,"Star Trek: Picard","2x02","Penance",,"NULL","NULL","NULL","NULL"
971,"CBS","Show","True",2022,"Star Trek: Picard","2x03","Assimilation",,"NULL","NULL","NULL","NULL"
972,"CBS","Show","True",2022,"Star Trek: Picard","2x04","Watcher",,"NULL","NULL","NULL","NULL"
973,"CBS","Show","True",2022,"Star Trek: Picard","2x05","Fly Me to the Moon",,"NULL","NULL","NULL","NULL"
974,"CBS","Show","True",2022,"Star Trek: Picard","2x06","Two of One",,"NULL","NULL","NULL","NULL"
975,"CBS","Show","True",2022,"Star Trek: Picard","2x07","Monsters",,"NULL","NULL","NULL","NULL"
976,"CBS","Show","True",2022,"Star Trek: Picard","2x08","Mercy",,"NULL","NULL","NULL","NULL"
977,"CBS","Show","True",2022,"Star Trek: Picard","2x09","Hide and Seek",,"NULL","NULL","NULL","NULL"
978,"CBS","Show","True",2022,"Star Trek: Picard","2x10","Farewell",,"NULL","NULL","NULL","NULL"
979,"UPN","Show","True",1998,"Star Trek: Voyager","4x23","Living Witness",,"NULL","NULL","NULL","NULL"
980,"CBS","Show","True",2020,"Star Trek: Discovery","3x01","That Hope Is You",,"NULL","NULL","NULL","NULL"
981,"CBS","Show","True",2020,"Star Trek: Discovery","3x01","That Hope Is You (1)",,"NULL","NULL","NULL","NULL"
982,"CBS","Show","True",2020,"Star Trek: Discovery","3x02","Far from Home",,"NULL","NULL","NULL","NULL"
983,"CBS","Show","True",2020,"Star Trek: Discovery","3x03","People of Earth",,"NULL","NULL","NULL","NULL"
984,"CBS","Show","True",2020,"Star Trek: Discovery","3x04","Forget Me Not",,"NULL","NULL","NULL","NULL"
985,"CBS","Show","True",2020,"Star Trek: Discovery","3x05","Die Trying",,"NULL","NULL","NULL","NULL"
986,"CBS","Show","True",2020,"Star Trek: Discovery","3x06","Scavengers",,"NULL","NULL","NULL","NULL"
987,"CBS","Show","True",2020,"Star Trek: Discovery","3x07","Unification III",,"NULL","NULL","NULL","NULL"
988,"CBS","Show","True",2020,"Star Trek: Discovery","3x08","The Sanctuary",,"NULL","NULL","NULL","NULL"
989,"CBS","Show","True",2020,"Star Trek: Discovery","3x09","Terra Firma",,"NULL","NULL","NULL","NULL"
990,"CBS","Show","True",2020,"Star Trek: Discovery","3x09","Terra Firma (1)",,"NULL","NULL","NULL","NULL"
991,"CBS","Show","True",2020,"Star Trek: Discovery","3x10","Terra Firma (2)",,"NULL","NULL","NULL","NULL"
992,"CBS","Show","True",2020,"Star Trek: Discovery","3x09","Terra Firma, Part 1",,"NULL","NULL","NULL","NULL"
993,"CBS","Show","True",2020,"Star Trek: Discovery","3x10","Terra Firma, Part 2",,"NULL","NULL","NULL","NULL"
994,"CBS","Show","True",2020,"Star Trek: Discovery","3x11","Su'Kal",,"NULL","NULL","NULL","NULL"
995,"CBS","Show","True",2020,"Star Trek: Discovery","3x12","There is a Tide…",,"NULL","NULL","NULL","NULL"
996,"CBS","Show","True",2021,"Star Trek: Discovery","3x13","That Hope Is You",,"NULL","NULL","NULL","NULL"
997,"CBS","Show","True",2021,"Star Trek: Discovery","3x13","That Hope Is You (2)",,"NULL","NULL","NULL","NULL"
998,"CBS","Show","True",2021,"Star Trek: Discovery","4x01","Kobayashi Maru",,"NULL","NULL","NULL","NULL"
999,"CBS","Show","True",2021,"Star Trek: Discovery","4x02","Anomaly",,"NULL","NULL","NULL","NULL"
1000,"CBS","Show","True",2021,"Star Trek: Discovery","4x03","Choose to Live",,"NULL","NULL","NULL","NULL"
1001,"CBS","Show","True",2021,"Star Trek: Discovery","4x04","All Is Possible",,"NULL","NULL","NULL","NULL"
1002,"CBS","Show","True",2021,"Star Trek: Discovery","4x05","The Examples",,"NULL","NULL","NULL","NULL"
1003,"CBS","Show","True",2021,"Star Trek: Discovery","4x06","Stormy Weather",,"NULL","NULL","NULL","NULL"
1004,"CBS","Show","True",2021,"Star Trek: Discovery","4x07","…But to Connect",,"NULL","NULL","NULL","NULL"
1005,"CBS","Show","True",2022,"Star Trek: Discovery","4x08","All In",,"NULL","NULL","NULL","NULL"
1006,"CBS","Show","True",2022,"Star Trek: Discovery","4x09","Rubicon",,"NULL","NULL","NULL","NULL"
1007,"CBS","Show","True",2022,"Star Trek: Discovery","4x10","The Galactic Barrier",,"NULL","NULL","NULL","NULL"
1008,"CBS","Show","True",2022,"Star Trek: Discovery","4x11","Rosetta",,"NULL","NULL","NULL","NULL"
1009,"CBS","Show","True",2022,"Star Trek: Discovery","4x12","Species Ten-C",,"NULL","NULL","NULL","NULL"
1010,"CBS","Show","True",2022,"Star Trek: Discovery","4x13","Coming Home",,"NULL","NULL","NULL","NULL"
1011,"CBS","Show","True",2018,"Star Trek: Short Treks","1x02","Calypso",,"NULL","NULL","NULL","NULL"
