"Count","Series","Title","Episode","Year","PlexId","imdb","tmdb","tvdb"
326,"TNG","Star Trek The Bonding","3x05","1989","NULL","NULL","NULL","NULL"
327,"TNG","Star Trek Booby Trap","3x06","1989","NULL","NULL","NULL","NULL"
328,"TNG","Star Trek The Enemy","3x07","1989","NULL","NULL","NULL","NULL"
329,"TNG","Star Trek The Price","3x08","1989","NULL","NULL","NULL","NULL"
330,"TNG","Star Trek The Vengeance Factor","3x09","1989","NULL","NULL","NULL","NULL"
331,"TNG","Star Trek The Defector","3x10","1990","NULL","NULL","NULL","NULL"
332,"TNG","Star Trek The Hunted","3x11","1990","NULL","NULL","NULL","NULL"
333,"TNG","Star Trek The High Ground","3x12","1990","NULL","NULL","NULL","NULL"
334,"TNG","Star Trek Déjà Q","3x13","1990","NULL","NULL","NULL","NULL"
335,"TNG","Star Trek A Matter of Perspective","3x14","1990","NULL","NULL","NULL","NULL"
336,"TNG","Star Trek Yesterday's Enterprise","3x15","1990","NULL","NULL","NULL","NULL"
337,"TNG","Star Trek The Offspring","3x16","1990","NULL","NULL","NULL","NULL"
338,"TNG","Star Trek Sins of the Father","3x17","1990","NULL","NULL","NULL","NULL"
339,"TNG","Star Trek Allegiance","3x18","1990","NULL","NULL","NULL","NULL"
340,"TNG","Star Trek Captain's Holiday","3x19","1990","NULL","NULL","NULL","NULL"
341,"TNG","Star Trek Tin Man","3x20","1990","NULL","NULL","NULL","NULL"
342,"TNG","Star Trek Hollow Pursuits","3x21","1990","NULL","NULL","NULL","NULL"
343,"TNG","Star Trek The Most Toys","3x22","1990","NULL","NULL","NULL","NULL"
344,"TNG","Star Trek Sarek","3x23","1990","NULL","NULL","NULL","NULL"
345,"TNG","Star Trek Ménage à Troi","3x24","1990","NULL","NULL","NULL","NULL"
346,"TNG","Star Trek Transfigurations","3x25","1990","NULL","NULL","NULL","NULL"
347,"TNG","The Best of Both Worlds","3x26","1990","NULL","NULL","NULL","NULL"
348,"TNG","The Best of Both Worlds (1)","3x26","1990","NULL","NULL","NULL","NULL"
349,"TNG","The Best of Both Worlds (2)","4x01","1990","NULL","NULL","NULL","NULL"
350,"TNG","The Best of Both Worlds, Part 1","3x26","1990","NULL","NULL","NULL","NULL"
351,"TNG","The Best of Both Worlds, Part 2","4x01","1990","NULL","NULL","NULL","NULL"
352,"TNG","Star Trek Family","4x02","1990","NULL","NULL","NULL","NULL"
353,"TNG","Star Trek Brothers","4x03","1990","NULL","NULL","NULL","NULL"
354,"TNG","Star Trek Suddenly Human","4x04","1990","NULL","NULL","NULL","NULL"
355,"TNG","Star Trek Remember Me","4x05","1990","NULL","NULL","NULL","NULL"
356,"TNG","Star Trek Legacy","4x06","1990","NULL","NULL","NULL","NULL"
357,"TNG","Star Trek Reunion","4x07","1990","NULL","NULL","NULL","NULL"
358,"TNG","Star Trek Future Imperfect","4x08","1990","NULL","NULL","NULL","NULL"
359,"TNG","Star Trek Final Mission","4x09","1990","NULL","NULL","NULL","NULL"
360,"TNG","Star Trek The Loss","4x10","1990","NULL","NULL","NULL","NULL"
361,"TNG","Star Trek Data's Day","4x11","1991","NULL","NULL","NULL","NULL"
362,"TNG","Star Trek The Wounded","4x12","1991","NULL","NULL","NULL","NULL"
363,"TNG","Star Trek Devil's Due","4x13","1991","NULL","NULL","NULL","NULL"
364,"TNG","Star Trek Clues","4x14","1991","NULL","NULL","NULL","NULL"
365,"TNG","Star Trek First Contact","4x15","1991","NULL","NULL","NULL","NULL"
366,"TNG","Star Trek Galaxy's Child","4x16","1991","NULL","NULL","NULL","NULL"
367,"TNG","Star Trek Night Terrors","4x17","1991","NULL","NULL","NULL","NULL"
368,"TNG","Star Trek Identity Crisis","4x18","1991","NULL","NULL","NULL","NULL"
369,"TNG","Star Trek The Nth Degree","4x19","1991","NULL","NULL","NULL","NULL"
370,"TNG","Star Trek Qpid","4x20","1991","NULL","NULL","NULL","NULL"
371,"TNG","Star Trek The Drumhead","4x21","1991","NULL","NULL","NULL","NULL"
372,"TNG","Star Trek Half a Life","4x22","1991","NULL","NULL","NULL","NULL"
373,"TNG","Star Trek The Host","4x23","1991","NULL","NULL","NULL","NULL"
374,"TNG","Star Trek The Mind's Eye","4x24","1991","NULL","NULL","NULL","NULL"
375,"TNG","Star Trek In Theory","4x25","1991","NULL","NULL","NULL","NULL"
376,"TNG","Redemption","4x26","1991","NULL","NULL","NULL","NULL"
377,"TNG","Redemption (1)","4x26","1991","NULL","NULL","NULL","NULL"
